left,center,right
"['th', 'day', 'of', 'May', '2007', 'at']",Manila,"['by', 'and', 'between', ':', 'Antonio', 'Levy']"
"['between', ':', 'Antonio', 'Levy', 'S.', 'Ingles', '.']",Jr.,"['and/or', 'Mary', 'Rose', 'C']"
"['and', 'postal', 'address', 'at', 'Unit']",2006,"['EGI', 'Taft', 'Tower', '2339', 'Taft', 'Avenue']"
"['EGI', 'Taft', 'Tower', '2339', 'Taft', 'Avenue', ',']",Malate,"[',', 'Manila', ',', 'And', 'herein', 'referred', 'to']"
"['th', 'day', 'of', 'May', '2007', 'at']",Manila,"['by', 'and', 'between', ':', 'Antonio', 'Levy']"
"['Taft', 'Avenue', ',', 'Malate', ',', 'Manila', ',', 'And']",herein,"['referred', 'to', 'as', 'the', 'Owner']"
"['and', 'postal', 'address', 'at', 'Unit', '200']",6,"['EGI', 'Taft', 'Tower', '2339', 'Taft', 'Avenue']"
"['residence', 'and', 'postal', 'address', 'at', '6']",Manganese,"['Road', ',', 'Pilar', 'Village', ',', 'Las', 'Pinas']"
"['Taft', 'Avenue', ',', 'Malate', ',', 'Manila', ',', 'And']",herein,"['referred', 'to', 'as', 'the', 'Owner']"
"['between', ':', 'Antonio', 'Levy', 'S.', 'Ingles', '.']",Jr.,"['and/or', 'Mary', 'Rose', 'C']"
"['th', 'day', 'of', 'May', ',', '2007', ',', 'and']",monthly,"['thereafter', 'until', 'the', '20th', 'day']"
"['th', 'day', 'of', 'May', ',', '2007', ',', 'and']",monthly,"['thereafter', 'until', 'the', '20th', 'day']"
"['the', 'sum', 'of', 'SIX', 'THOUSAND']",FIVE,"['HUNDRED', 'PESOS', 'IP', '6.500.001', 'per', 'month']"
"['th', 'day', 'of', 'May', ',', '2007', ',', 'and']",month,[]
"['the', 'Resident(s', ')', 'from', 'the']",premises,"['and', 'seize', 'the', 'security', 'deposit']"
"['th', 'day', 'of', 'May', ',', '2007', ',', 'and']",monthly,"['thereafter', 'until', 'the', '20th', 'day']"
"['between', ':', 'Antonio', 'Levy', 'S.', 'Ingles', '.', 'Jr.', 'and/or', 'Mary', 'Rose', 'C']",JR,[]
"['S.', 'INGLES', '.', 'JR', '.', 'until', 'a']",first,"['check', 'is', 'dishonored', 'and', 'returned']"
